"url","twitterUrl","id","text","retweetCount","replyCount","likeCount","quoteCount","createdAt","bookmarkCount","isRetweet","isQuote","nextCursor"
"https://x.com/gandalf_ethhh/status/1948344947632984382","https://twitter.com/gandalf_ethhh/status/1948344947632984382","1948344947632984300","🧵EIGEN Token, a new primitive for Intersubjective Security in EigenCloud

Just 3 minutes explore EIGEN token model 👇 https://t.co/ryRGQc1qWS","0","1","5","1","Thu Jul 24 11:30:08 +0000 2025","0",,"false",
"https://x.com/shahrianazim6/status/1920486732794835455","https://twitter.com/shahrianazim6/status/1920486732794835455","1920486732794835500","$IKA🐙 TGE Very Soon @ikadotxyz 

Total Supply 10B Token And 50% Fpr Community 🙈💦 6% Distribution At TGE💦 $IKA @GiveRep https://t.co/rCmrqUUHXN","99","503","563","5","Thu May 08 14:31:32 +0000 2025","6",,"false",
"https://x.com/delkind26/status/1950069282387157502","https://twitter.com/delkind26/status/1950069282387157502","1950069282387157500","🚨 It’s happening. $IKA TGE is just hours away.
And this isn’t just another token launch…

@ikadotxyz 🦑 is the first zero-trust MPC network — faster, more scalable &amp; more decentralized.

#Web3 will never be the same.
#IKA #TGE https://t.co/LjGK1zAkOk","0","0","1","0","Tue Jul 29 05:42:02 +0000 2025","0",,"false",
"https://x.com/eiketoken/status/1899642784933392527","https://twitter.com/eiketoken/status/1899642784933392527","1899642784933392600","https://t.co/7m1qgjalrH","0","0","0","0","Wed Mar 12 02:05:08 +0000 2025","0",,"false",
"https://x.com/suilendprotocol/status/1950162203086033307","https://twitter.com/suilendprotocol/status/1950162203086033307","1950162203086033400","Introducing IKA!

$IKA. the token powering @ikadotxyz, has been listed as an isolated asset with a 0% LTV. Deposit IKA to earn additional IKA, SUI and SEND rewards!

Deposit IKA: https://t.co/ui8XVNzJ6s https://t.co/O4ZUPHGw8n","5","6","86","6","Tue Jul 29 11:51:16 +0000 2025","1",,"false",
"https://x.com/HavenMediaCo/status/1949466382091031032","https://twitter.com/HavenMediaCo/status/1949466382091031032","1949466382091031000","$IKA is the game changer Web3’s been waiting for. 

It’s not a fork, a clone, or some copy pasta protocol. This is a massive breakthrough for the market, and it’s only happening on Sui. 🔥 

Ditch the siloed assets and bridges.  Assets will move freely, securely, and instantly https://t.co/TGjlHaWoXg","1","6","12","0","Sun Jul 27 13:46:19 +0000 2025","0",,"false",
"https://x.com/cvmgovbr/status/1907864937986142628","https://twitter.com/cvmgovbr/status/1907864937986142628","1907864937986142700","CVM alerta para atuação irregular envolvendo Eike Token ($EIKE). Autarquia determina imediata suspensão de oferta de valores mobiliários para o público residente no Brasil.

Saiba mais: https://t.co/fvFQy8V5FS https://t.co/3diEyzWT1X","1","1","2","0","Thu Apr 03 18:37:02 +0000 2025","0",,"false",
"https://x.com/eesee_io/status/1882020564602126471","https://twitter.com/eesee_io/status/1882020564602126471","1882020564602126600","e money IDO Is Live! 🎉

Don’t miss an exclusive opportunity to join in — @emoney_network is only available on eesee Launchpad!

ℹ️ IDO Details:

• Fundraise &amp; Distribution: BSC
• Allocation: $220,000
• Ticker: $EMYC
• Refund: 7 days
• TGE Unlock: 25% , 3 months cliff, https://t.co/C5ydCHETfV","379","161","461","0","Wed Jan 22 11:00:43 +0000 2025","3",,"false",
"https://x.com/GuyBellh/status/1947800454685200756","https://twitter.com/GuyBellh/status/1947800454685200756","1947800454685200600","💎 🧪: D8YtPQToC2DWyeQoG99Xh4Bq8iExK2q2RG8x6pNSgZBP
┃🧫┃𝙏𝙤𝙠𝙚𝙣 ⋮ $ICM
┃👑┃𝙈.𝘾 ⋮ 130.59K
┃💯┃𝙇.𝙋 ⋮ 48.07K
┃💎┃𝙑𝙤𝙡𝙪𝙢𝙚 ⋮ 1.36M

🔊TOP CALL 👉👉 https://t.co/dLGCkU21A5 🔗 https://t.co/PMCzTURaPH","0","0","1","0","Tue Jul 22 23:26:31 +0000 2025","0",,"false",
"https://x.com/filipebarrosoo/status/1894830114929541348","https://twitter.com/filipebarrosoo/status/1894830114929541348","1894830114929541400","$EIKE | O token eu Eike Batista em menos de 6 horas teve uma volatilidade de 100%. Nem tudo são flores em #memecoins https://t.co/B0y0owLVlw","1","7","3","0","Wed Feb 26 19:21:18 +0000 2025","1",,"false",
